checking_account_status_above_200,checking_account_status_below_0,checking_account_status_no_account,credit_history_critical_account,credit_history_delay_in_paying,credit_history_existing_credit_paid,credit_history_no_credit_taken,purpose_car_new,purpose_car_used,purpose_domestic_appliances,purpose_education,purpose_furniture_equipment,purpose_others,purpose_radio_TV,purpose_repairs,purpose_retraining,savings_account_status_below_100,savings_account_status_between_100_500,savings_account_status_between_500_1000,savings_account_status_unknown,employment_years_below_1,employment_years_between_1_4,employment_years_between_4_7,employment_years_unemployed,personal_status_M_divorced,personal_status_M_single,other_debtors_co_applicant ,other_debtors_guarantor,property_no_property,property_other,property_real_estate ,other_installment_plans_bank,other_installment_plans_stores,housing_own,housing_rent,job_official,job_unemployed,job_unskilled,amount_1,amount_2,amount_3,installment_rate_2,installment_rate_3,installment_rate_4,present_residence_2,present_residence_3,present_residence_4,age_1,age_2,age_3,number_of_credits_2,number_of_credits_3,number_of_credits_4,people_liable_2,telephone_1,foreign_worker_1,full_repaid,duration
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,6
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,48
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,12
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,42
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,24
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,36
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,24
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,36
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,12
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,30
