,X1 transaction date_1,X1 transaction date_2,X1 transaction date_3,X2 house age_1,X2 house age_2,X2 house age_3,X3 distance to the nearest MRT station_1,X3 distance to the nearest MRT station_2,X3 distance to the nearest MRT station_3,X4 number of convenience stores_1,X4 number of convenience stores_2,X4 number of convenience stores_3,X5 latitude_1,X5 latitude_2,X5 latitude_3,X6 longitude_1,X6 longitude_2,X6 longitude_3,censoring,Y house price of unit area
0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,37.9
1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,42.2
2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,47.3
3,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,54.8
4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,43.1
5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,32.1
6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,40.3
7,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,46.7
8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18.8
9,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,22.1
10,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,41.4
11,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,58.1
12,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,39.3
13,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,23.8
14,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,34.3
15,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,50.5
16,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,70.1
17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,37.4
18,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,42.3
19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,47.7
20,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,29.3
21,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,51.6
22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24.6
23,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,47.9
24,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,38.8
25,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,27.0
