iterations,time,lowerbound,upperbound,graph_size,queue_size,explore,exploit
1,0.004498,0.0309607,0.88129,1,30,1,0
10000,0.318145,0.0309607,0.88129,4696,41696,9999,0
20000,0.554002,0.0309607,0.88129,7884,41559,10000,0
30000,0.805579,0.0309607,0.88129,10385,35145,9980,20
40000,1.08068,0.0309607,0.88129,11932,26656,9884,116
47040,1.26296,0.04,0.431426,12965,21292,6847,193
50000,1.3491,0.04,0.431426,13175,18652,2895,65
60000,1.66932,0.04,0.431426,13973,10119,9307,693
62907,1.75735,0.04,0.320437,14150,7745,2346,561
70000,1.93044,0.04,0.320437,14390,3460,3666,3427
80000,2.06027,0.04,0.320437,14565,536,1338,8662
82645,2.08351,0.0509607,0.306475,14565,84,0,2645
83323,2.09421,0.0509911,0.306475,14565,18,0,678
83535,2.09763,0.050998,0.292622,14565,5,0,212
83544,2.09783,0.050998,0.277173,14565,4,0,9
83619,2.09851,0.0510802,0.277173,14565,1,0,75
83627,2.09871,0.0737633,0.277173,14565,1,0,8
83632,2.09883,0.277173,0.277173,14565,0,0,5
